Mac Prefix,Vendor Name,Private,Block Type,Last Update
18:FE:34,Espressif Inc.,false,MA-L,2018/08/16
AC:D0:74,Espressif Inc.,false,MA-L,2018/08/16
90:97:D5,Espressif Inc.,false,MA-L,2018/08/16
60:01:94,Espressif Inc.,false,MA-L,2018/08/16
5C:CF:7F,Espressif Inc.,false,MA-L,2018/08/16
54:5A:A6,Espressif Inc.,false,MA-L,2018/08/16
A0:20:A6,Espressif Inc.,false,MA-L,2018/08/16
24:0A:C4,Espressif Inc.,false,MA-L,2018/08/16
30:AE:A4,Espressif Inc.,false,MA-L,2018/08/16
2C:3A:E8,Espressif Inc.,false,MA-L,2018/08/16
A4:7B:9D,Espressif Inc.,false,MA-L,2018/08/16
24:B2:DE,Espressif Inc.,false,MA-L,2018/08/16
D8:A0:1D,Espressif Inc.,false,MA-L,2018/08/16
68:C6:3A,Espressif Inc.,false,MA-L,2018/08/16
EC:FA:BC,Espressif Inc.,false,MA-L,2018/08/16
DC:4F:22,Espressif Inc.,false,MA-L,2018/08/16
B4:E6:2D,Espressif Inc.,false,MA-L,2018/08/16
BC:DD:C2,Espressif Inc.,false,MA-L,2018/08/16
84:F3:EB,Espressif Inc.,false,MA-L,2018/08/16
84:0D:8E,Espressif Inc.,false,MA-L,2018/08/16
CC:50:E3,Espressif Inc.,false,MA-L,2018/08/16
3C:71:BF,Espressif Inc.,false,MA-L,2018/08/16
C4:4F:33,Espressif Inc.,false,MA-L,2018/08/16
80:7D:3A,Espressif Inc.,false,MA-L,2018/08/16
2C:F4:32,Espressif Inc.,false,MA-L,2018/12/01
A4:CF:12,Espressif Inc.,false,MA-L,2018/12/08
24:6F:28,Espressif Inc.,false,MA-L,2019/01/09
4C:11:AE,Espressif Inc.,false,MA-L,2019/01/23
24:62:AB,Espressif Inc.,false,MA-L,2019/02/25
D8:F1:5B,Espressif Inc.,false,MA-L,2019/03/07
50:02:91,Espressif Inc.,false,MA-L,2019/05/10
C8:2B:96,Espressif Inc.,false,MA-L,2019/05/20
98:F4:AB,Espressif Inc.,false,MA-L,2019/07/02
D8:BF:C0,Espressif Inc.,false,MA-L,2019/07/02
E0:98:06,Espressif Inc.,false,MA-L,2019/09/11
F4:CF:A2,Espressif Inc.,false,MA-L,2019/09/11
FC:F5:C4,Espressif Inc.,false,MA-L,2019/10/17
8C:AA:B5,Espressif Inc.,false,MA-L,2019/10/17
10:52:1C,Espressif Inc.,false,MA-L,2019/11/23
48:3F:DA,Espressif Inc.,false,MA-L,2019/11/23
7C:DF:A1,Espressif Inc.,false,MA-L,2019/12/04
F0:08:D1,Espressif Inc.,false,MA-L,2019/12/04
40:F5:20,Espressif Inc.,false,MA-L,2020/01/23
7C:9E:BD,Espressif Inc.,false,MA-L,2020/01/23
70:03:9F,Espressif Inc.,false,MA-L,2020/02/21
AC:67:B2,Espressif Inc.,false,MA-L,2020/02/21
84:CC:A8,Espressif Inc.,false,MA-L,2020/02/27
B8:F0:09,Espressif Inc.,false,MA-L,2020/02/27
0C:DC:7E,Espressif Inc.,false,MA-L,2020/05/14
24:A1:60,Espressif Inc.,false,MA-L,2020/05/14
08:3A:F2,Espressif Inc.,false,MA-L,2020/06/04
A8:03:2A,Espressif Inc.,false,MA-L,2020/06/04
A0:76:4E,Espressif Inc.,false,MA-L,2020/07/23
C4:DD:57,Espressif Inc.,false,MA-L,2020/07/23
8C:CE:4E,Espressif Inc.,false,MA-L,2020/08/01
94:B9:7E,Espressif Inc.,false,MA-L,2020/08/01
E0:E2:E6,Espressif Inc.,false,MA-L,2020/09/05
E8:DB:84,Espressif Inc.,false,MA-L,2020/09/05
3C:61:05,Espressif Inc.,false,MA-L,2020/09/17
E8:68:E7,Espressif Inc.,false,MA-L,2020/09/17
4C:75:25,Espressif Inc.,false,MA-L,2020/11/01
60:55:F9,Espressif Inc.,false,MA-L,2020/11/01
A4:E5:7C,Espressif Inc.,false,MA-L,2020/11/12
9C:9C:1F,Espressif Inc.,false,MA-L,2020/11/12
C4:5B:BE,Espressif Inc.,false,MA-L,2021/01/15
98:CD:AC,Espressif Inc.,false,MA-L,2021/01/15
BC:FF:4D,Espressif Inc.,false,MA-L,2021/01/22
94:3C:C6,Espressif Inc.,false,MA-L,2021/01/22
34:AB:95,Espressif Inc.,false,MA-L,2021/01/28
78:E3:6D,Espressif Inc.,false,MA-L,2021/01/28
34:86:5D,Espressif Inc.,false,MA-L,2021/02/03
30:83:98,Espressif Inc.,false,MA-L,2021/02/03
A8:48:FA,Espressif Inc.,false,MA-L,2021/04/20
